example_id,query,query_id,product_id,product_locale,esci_label,small_version,large_version,split,product_title,product_description,product_bullet_point,product_brand,product_color
118060,6 dining chairs,4845,B08CZ6TC2L,us,E,1,1,train,"Yaheetech Dining Chairs Velvet Armchairs for Counter Lounge Living Room Corner Chair Steel Legs Upholstered Modern Tub Chairs with Backrest Armrest Gray, 6PCS","Set of 6 Kitchen Dining Chairs for Counter Lounge Living Room Corner Chair Steel Legs Upholstered Modern Tub Chairs with Armchair Backrest Armrest<br><br>Quick overview:<br>Are you looking for a dining chair for your kitchen? Are a wide variety of products dazzling you? Do not be worried. Try these modern kitchen dining chairs! Our modern tub chairs are made from velvet, plywood, and iron. They have comfortable seats and sturdy supports. The selected materials and stable structure will work well for a long time. The gray coffee chairs are sold in set of 4, and they go well with any style of decoration in your living room, kitchen, porch or office. Do not miss them. Take them home now!<br><br>Specifications:<br>Material: plywood, and iron<br>Overall dimension: 22.6 x 23 x 34inch (L x W x H)<br>Max. weight capacity: 264.6lb<br>Qty: 6pcs Color: Gray<br><br>Package included:<br>6 x Dining Chairs<br><br>Note:<br>Please allow ±1cm error due to manual measurement.","STRONG METAL LEGS: To enhance the weight capacity of these living room chairs, we adopt metal legs to support the seats. Four metal legs crossways bear the seat safely and steadily. The maximum weight capacity of each chair is 264.6lb. For safety, please do not overload or stand on the chair.
DURABLE COMFY MATERIALS: Our modern dining chairs have velvet fabric cover, cozy foam padding, and metal legs. The soft cushion filled with foam is fluffy and nondeformable. The durable comfy materials and strong structure ensure a long life span.
ILLUSTRATED INSTRUCTIONS: Some assembly is required, but so not worry about it. You just need to attach the legs to the seat using matching metal accessories. Also, we have illustrated instructions to guide you through the assembly. If you have any problems or questions, please feel free to contact our customer service for further assistance.
MODERN ARMCHAIRS: Featuring simple color, plain appearance and strong structure, this set of 6 dining chairs will widely match your furniture and home style. The diamond pattern in the interior of the backrest and the fine stitches make these velvet dining chairs charming but not garish.
ADJUSTABLE PROTECTION PADS: Each leg has a screw-in protective pad. When you put these chairs on uneven floor or ground, these adjustable footpads will do the trick to keep them stable. Also, they protect the floor from scratches by metal legs. By screwing the footpads up and down, the height can be adjusted accordingly.",Yaheetech,Grey
118064,6 dining chairs,4845,B08HQG1MFS,us,E,1,1,train,"CozyCasa Dining Chairs Modern Style Dining Chairs Mid Century DSW Chair Shell Lounge Plastic Chair for Kitchen Dining Living Room Side Chairs Set of 6, White","<b>If you are in search of some quality-reliable and elegant chairs which are matching with all kinds of table and area, CozyCasa dining chairs will be perfect solution.</b><br><br><br> - Pre assembled chairs just spend you some minutes to complete installation(NOTE: Do not tighten the screws completely at first when assembling)<br><br> - Classic mid century shell lounge plastic chairs are matched with various tables<br><br> - Made with ergonomic design, comfortable whenever chatting or dining<br><br> - Non-toxic and environment friendly PP material for kid friendly<br><br> - White steel frame makes the chairs more steady and sturdy<br><br> - With plastic pad under chair legs for prevent scratching on the floor or carpet and noise<br><br> <b>Regarding our Customer Service:</b><br><br> <b>CozyCasa focuses not only on Quality but also on Customer Service.</b><br><br> <b>Providing our customer with excellent shopping experiences is our gist.</b><br><br> <b>Please feel free to contact with us if set of 6 dining chairs be damaged during transportation or have any problem, we will give you resolve case with your satisfaction in 24 hours.</b><br><br><br> <b>Characteristic:</b><br> Color: White<br> Size of Each Chair: 18.1 x 16.9 x 31.5 Inches L*W*H<br> Net Weight: 45.2 lb<br> Max Weight Bearing: 150 lb<br><br><br> <b>What are Included:</b><br> - 6 x Kitchen Dining Chair<br> - Assembly Tool<br> - Assembly Manual Product Description","Dining Chairs set of 6 -- White PP backrest and seat designed with ergonomics improving comfort. Not only waterproof but also easy to clean
Dining Chairs set of 6 -- Assembled beech metal legs with white painting steel bar frame takes sturability and durability, easy to assemble, instructional manual included(NOTE: Do not tighten the screws completely at first when assembling)
Dining Chairs set of 6 -- Wearing plastic pads under the bottom of chairs legs can prevent scraching your beautiful carpet and floor, the dining chairs sets matched with all kinds of table and decorate your kitchen dining living room perfectly
Dining Chairs set of 6 -- Mid century style chairs set of 6 are the great gift to send your family and friends, Ideal for home or office, can be placed in dining room, bedroom, kitchen, reception, or some small spaces
Dining Chairs set of 6 -- Assurance of Customer Service: If there is any problem about our modern dining chairs please contact with us immediately, we will provide you with satisfied resolve case in 24 hours",CozyCasa,White
118065,6 dining chairs,4845,B08K2K3J4C,us,E,1,1,train,"Yaheetech Dining Chairs with Waterproof leather Surface and Rubber Wood Legs Modern Style Tufted for Kitchen Living Room Bedroom lounge, Set of 6, Brown","Make every long-time sitting comfortable. The dining chair is constructed with a solid wood frame, decent size seat, and tall backrest. Durable PVC leather seats filled with extra high-density foam and decorated with button tufting on the back. Simple style and elegant color perfectly fit your unique space and atmosphere.<br/><br/>Specifications:<br/>Material: Composite Board, PVC leather, Sponge, Rubber Wood, Non-woven Fabric<br/>Color: Brown Quantity: 6pcs<br/>Overall Dimension: 18×24.5×39in(LxWxH)<br/>Seat Size: 18×17×6in(LxWxThickness)<br/>Seat Height: 20.5in<br/>Max. Loading: 297.6 lb<br/>G.W.(2pcs): 94.6lb<br/><br/>Package Included:<br/>6x Dining Chairs<br/>3 x Instructions","MULTIPLE USE: Sold in a set of 6 chairs. Designed and manufactured elaborately, these dining chairs could be a good choice when you are looking for a piece of kitchen & dining room furniture. Modern and clean style will correspond with any space you intend it for, lobbies, meetings, hotels, restaurants, banquets and more
EASY ASSEMBLY: We provide all the necessary hardware and tool, and an illustrated installation manual to help you set up this chair. Should you have any questions, please feel free to contact us!
STYLISH DESIGN: Our dining chairs are featured with a simple and straightforward style, button tufted backrests and elegant brown leather easily fit your unique table and home outfit style
ADJUSTABLE FEET CAPS: The front legs are designed with adjustable feet caps to keep the chairs height balance. Four protective pads on the feet can keep your floor away from scratches
COMFORTABLE: The dining chair with 45.5cm/18 inches(width) x 43.5cm/17 inches(depth) seat and high backrest provide you with larger sitting room and more comfortable experience. Filled with more high-density foam in the seats and backrests will not let you feel tired after long-time sitting",Yaheetech,Brown
118066,6 dining chairs,4845,B08K2V66N8,us,E,1,1,train,"Yaheetech Dining Chairs Dining Room Chairs Living Room Chairs with Rubber Wood Legs and Non-woven Fabric, Wedding, Hotel, Restaurants, Kitchen, Hall, Side Chairs with Nailhead Trim, Set of 6, Khaki","Make every dinner time comfortable. Constructed with solid wood frame, breathable fabric cover, medium-firm foam seat and higher backrest, this set of dining chair is more comfortable and durable than others. Classic design and elegant color easily match your home outfit style. Perfect addition to the dining room, kitchen, living room, cafés and hotels.<br/><br/>Specifications:<br/>Material: Composite Board, Cloth, Foam, Rubber Wood,Non-woven Fabric<br/>Color: Khaki Quantity: 6pcs<br/>Overall Dimension: 18×24.5×40.6’’(LxWxH)<br/>Seat Size: 18×17×5’’(LxWxThickness)<br/>Seat Height: 19.7’’<br/>Max. Loading(ea.): 275.6 lb<br/>G.W.(6pcs): 91.9lb<br/><br/>Package Included:<br/>6 x Dining Chairs<br/>3 x Instructions","MULTIPLE USE: Sold in a set of 6 chairs. This set of dining chairs is classic designing and elaborately manufactured with good-quality materials. Perfect addition to the dining room, kitchen, living room, cafés and hotels
ADJUSTABLE FEET CAPS: The front legs are designed with adjustable feet caps to keep the chairs height balance. Four protective pads on the feet can keep your floor away from scratches
EASY ASSEMBLY: We provide all the necessary hardware and tool, and an illustrated installation manual to help you set up this chair. Should you have any questions, please feel free to contact us!
CLASSIC DESIGN: Our dining chairs are featured with simple style, soft fabric and copper-colored nailhead perfectly complete and bright up your dining room
STURDY and DURABLE: The fabric dining chair is constructed of strong wood frame with high quality rubber wood legs, wear-resistant cloth and elastic soft foam. Each chair is capable of holding up 125 kg/275.6 lb",Yaheetech,Khaki
118067,6 dining chairs,4845,B08K8VDTW8,us,E,1,1,train,"Modern Dining Chairs Set of 6 - Faux Leather Dining Room Chairs, Comfortable Kitchen Chairs with Chrome Legs for Kitchen, Living Room, Bedroom, Dining Room Side Chairs Set of 6 (Grey)","<b>Modern Dining Chairs Set of 6 - Faux Leather Dining Room Chairs, Comfortable Kitchen Chairs with Chrome Legs (Black) </b><br> <br> <b>Product Features</b><br> Modern dining chairs style, comfortable and durable<br> Comfy padded seat and ergonomic back support for a long time sitting<br> Dining chairs with chrome legs make the kitchen chairs more stable and durable<br> Premium materials, non-toxic and odor-free, healthy for you and your family<br> Equipped with an anti-scratches and anti-noise pad to protect your floor<br> Idea for kitchen, Living, Bedroom and Dining room chair<br> Easy to assemble, only one person can install it in 10 minutes<br> <br> <b>Product Specification</b><br> Chair Dimensions: W 18.1"" x D 16.5"" x H 33.5""<br> Floor to Seat Height: 18.5""<br> Seat Width & Depth: 16.5"" x 16.5""<br> Seat Pad Thickness: 2.36""<br> Materials: Faux Leather Pad + Chrome Legs<br> Color: Gray<br> Weight: 12.1 lbs <br> Weight Capacity: 250 lbs<br> Package includes: 6 chairs (2 chairs packed in one box), screws and installation manual<br> <br> <b>Please Note</b><br> We will ship the item by UPS/FedEx in 3-7 business days after you placed the order. <br> If you find the items are damaged or have any problems, please contact us in time <br>and we will help you with free replacement or full refund.<br> Worry-free online shopping: 60 days factory warranty.<br><br>","Comfortable Dining Chairs Set of 6 - The dining room chairs set designed with ergonomic curved back support and seat, along with the soft and dense padded cushion, comfortable for a long-time sitting.
Modern Dining Chairs: Modern Mid-Century styled dining chairs grey colored, perfect for dining room, kitchen, living room, and study room. They are ideal side chairs for round tables, square tables, and rectangle tables, blending with various decor styles.
Sturdy and Stable: the kitchen chairs support with chrome legs base, available for continuous durable usage. The bottom legs are equipped with anti-scratches and anti-noise pads to protect your floor.
Faux leather dining chairs: SinereFly dining chairs set is made from premium materials, non-toxic, and odor-free. Waterproof and grease-proof faux fabric pad is easy to clean when drinks or food spilled.
Easy to Assemble: Four screws solve all installation problems, the seat cushion and backrest are integrated, just need to tighten the four screws to connect legs and seat. Done!",WENYU,Grey
118071,6 dining chairs,4845,B086X1BK5G,us,E,1,1,train,"Yaheetech Solid Wood Dining Chairs Button Tufted Parsons Diner Chair Upholstered Fabric Dining Room Chairs Kitchen Chairs Set of 6, Beige","6pcs Classic Fabric Upholstered Dining Chair High Back Padded Dining Chairs For Home And Restaurants<br/><br/>Looking for a dining chair for your home? Then you must not miss this fashionable dining chair set. The upholstered dining chair is built to last, made of linen-look fabric stretched on a durable solid wood frame with thick cushion. The dining chair looks very fashionable, which can match any decor theme, perfect for home, restaurant, café and company. The seat and back are padded with high-density foam for great comfortable feeling and the overall wooden frame gives you strong support.<br/><br/>Specifications:<br/>Material: Oak, Cloth, Sponge, Spring & Non-woven fabrics<br/>Dimension: 17.9x24.4x38.8’’ (LxWxH)<br/>Max. Loading: 297.6 Lb<br/>G.W.: 31.9 Lb<br/>Color: Beige Quantity: 6pcs<br/><br/>Package included:<br/>6 x Fabric Dining Chairs<br/><br/>tufted dining chairs parsons dining chairs Lounge Chair","Versatile: upholstered dining chair is perfectly suitable for dinner, meeting, hotel, restaurants, wedding banquet, celebration, and other ceremonial decorations.
Easy to assemble: simple assembly required, easy to install under the manual enclosed
High quality: the fabric dining chair is made of high quality oak, cloth, sponge, spring and non-woven fabrics, sturdy and durable to use; Burlap fabric is resistant to abrasion and dirt
Stylish design: simple and fashionable chair adds a sense of elegance to your room; the appearance has been treated with retro style, which is compatible seamlessly with any décor of occasion
Heavy duty: fabric padded chair is built in solid structure with high weight capacity up to 135 kg /297.6 Lb and the overall wooden frame and rubber wood legs gives you strong support.",Yaheetech,Beige
118072,6 dining chairs,4845,B098D24ZZB,us,E,1,1,train,"New Classic Furniture Gia 5-Piece Counter Dining Set with 1 Table and 4 Chairs, 42.25-Inch, Gray",,"DINING ROOM SET: Dining Set Expertly Constructed Table and Chairs Made from Mindi, Rubber Wood Solids and Veneers for High-Quality Long-Lasting Dining Room Furniture
CONTEMPORARY MODERN: Dinette Sets 5 Piece Finished in a Gorgeous Gray Color Versatile with Any Home Décor Style as the Perfect Kitchen Table Set
LUXURY DINING TABLE: Kitchen Table Boasts Reverse Diamond Match Veneer Top with Matching Padded Dining Room Chairs - Weight Limit 250lbs Per Chair
COUNTER HEIGHT DINING TABLE: Available in Two-Options Standard Height and Counter Height Table and Chairs
EASY ASSEMBLY: Assembly Instructions Listed Below in Product Details",New Classic Furniture,Grey
118073,6 dining chairs,4845,B098J9KBV3,us,E,1,1,train,"Centiar Faux Leather Indoor Kitchen Dining Chair Set of 4,Comfortable Farmhouse Chairs with Metal Legs, Modern Industrial Upholstered Chairs Suitable for Home, Bistro Coffee Shop,18"",Whiskey Brown","LUE BONA Bar Alexander Dining Chair is a simple, stylish option that'll work well with any design style. The new generation of upgraded dining chair adopts larger seat design and is more comfortable. Though they have a more industrial look, the warm leather upholstery means they'll complement other design styles with ease. The upholstered set is available in 3 colors—brown, Whiskey brown, and Retro black—and features a foam-filled cushion for prime comfort. The price of the two-piece set is fairly budget-friendly, but if you're still on the fence it's worth noting it comes with a one-year warranty.","Minimalist and cleanest style : Combining modern and charming elements, this bar stool chair makes a statement as it offers a spot to sit in any space. Founded atop a simple and metal pedestal base with a slender foot legs and a sleek chrome finish, elegant and cool. And the faux leather chair surface reveals the medieval retro style, which is elegant and graceful for a textured and inviting look. Brown color matches with the metal legs, which is neat and clean.
Well made and delicate: With this restaurant chair, the kitchen island never looked so good! Pairing contemporary and industrial appearance, this design lends style with its simplicity seat and clean lines. Sturdy legs prevent your floor from suffering scratches and scuffs. After assembly, this piece can support up to the capacity 250 lbs. Designed for exceptional and excellent comfort, this practical chair features a cushioned seat and back upholstered in PULL UP PU for softness and durability
Necessary for various places: An elegant blend of comfort and style, this leather soft leisure (bar) chair is the perfect seating solution for your any space. Padding on the arms lends additional comfort, while horizontal stitching along the seat and back adds a touch of refinement. The seat height is 18”, creating a comfortable and elegant impression that's perfect for indoor residential or outdoor spaces such as restaurants, street-side fashionable coffee shops and bars
Clean and assemble easily: Ergonomically shaped and covered with durable and easy-to-clean synthetic waterproof PU covers. With a damp cloth, you can easily remove stains. Its dark leather is a touch of understated luxury while offering you impeccable softness and smoothness that you so desire. In addition, Great package with amazing detail instruction and all the tools, easily assemble for anyone to finish the installation. Of course, the light weight will make you put it anywhere effortless
Best furniture companion: The set of 2 can make your decorative environment more coordinated. You don't need to bother for finding other chairs to match it. Set of 2 of this chair is more affordable for bar, home, outdoor, coffee shops, etc. Saving your time and energy, so practical and high quality. With its minimalist style, perfectness environmental adaptation and highly strength practicality, this chair is about to be your room's new best furniture companion",LUE BONA,4 Pcs Whiskey Brown
118074,6 dining chairs,4845,B09BYVLGYG,us,E,1,1,train,"Guyou Dining Chair Set of 6 - Velvet Upholstered Dining Room Chairs, Comfortabel Side Accent Chair with Metal Legs for Living Room Kitchen Small Corner Bedroom (Blue)","<p><b>Guyou Classic Fabric Dining Chairs Set of 6</b></p> <p><b><br></b></p> <p><b>Product Features</b></p> <p>Modern dining chairs style, comfortable and durable</p> <p>Comfy padded seat and ergonomic back support for a long time sitting</p> <p>Dining chairs with metal legs make the kitchen chairs more stable and durable</p> <p>Equipped with an anti-scratches and anti-noise pad to protect your floor Idea for kitchen, Living, Bedroom and Dining room chair</p> <p>Easy to assemble, only one person can install it in 10 minutes</p> <p><br></p> <p><b>Product Specification</b></p> <p>Chair Dimensions: W 22"" x D 23.6 "" x H 30""</p> <p>Floor to Seat Height: 17.7""</p> <p>Seat Width & Depth: 1 5.7"" x 17.7""</p> <p>Seat Pad Thickness: 3.5""</p> <p>Materials: Linen Look Fabric/Velvet Pad + Metal Legs</p> <p>Color: Gray/Green/Blue</p> <p>Weight: 15lbs</p> <p>Weight Capacity: 250 lbs</p> <p>Package includes: 6 chairs (1 chairs packed in one box), screws and installation manual</p> <p><br></p> <p><b>Please Note</b></p> <p>We will ship the item by UPS/FedEx in 3-7 business days after you placed the order.</p> <p>If you find the items are damaged or have any problems, please contact us in time and we will help you with free replacement or full refund.</p> <p>Worry online shopping: 60 days factory warranty.</p>",">>Soft velvet has unforgetable silky feelling and easy to clean with wet towel when drinks or food spilled. Simply but classic dining chairs.
>>Comfortable Dining Chairs Set of 8 - The dining room chairs set designed with ergonomic curved back support and seat, along with the soft and dense padded cushion, comfortable for a long-time sitting.
>>Sturdy and Stable - the kitchen chairs support with metal, available for continuous durable usage. The bottom legs are equipped with anti-scratches and anti-noise pads to protect your floor.
>>Ideal for home and office use - living rooms, dining rooms, kitchen, bedrooms, lobby, reception, waiting rooms and banquets.
>>Easy to Assemble - 6 screws solve all installation problems, the seat cushion and backrest are integrated, just need to tighten the four screws to connect legs and seat. Done!",Guyou,Blue
118075,6 dining chairs,4845,B09CGQRYNK,us,E,1,1,train,"Mid-Century Velvet Dining Chair,Cushion Soft Comfortable Chair with Solid Wood Legs,for Kitchen Or Living Room Chair,Set of 2,Black","This dining chair is made of high-quality velvet and has a very texture to the touch. The cushion is soft and comfortable, and the chair is equipped with black-finished solid wood legs, which is very durable. It is suitable for dining room or living room.","Mid-century dining chair, luxurious velvet fabric is skin-friendly and soft, and the unique hollow backrest design is very suitable for decorating your dining room or living room
The well-designed backrest profile provides maximum comfort, and the black-finished solid wood legs are sturdy and durable
The cushion of this chair is comfortable and soft, and sitting on it allows you to better enjoy your rest time
Overall dimension: 22.05""W X 25.2""D X 35.04""H, seat: 21.26""W X 17.72""D X 19.5""H;Weight limit:260 lbs.
Need simple installation. Includes assembly instructions and all parts. Each set of 2 dining chairs",Mymeleson,Black
